cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C29,2,10.214125,79.243405,2026-08-25,2026-08-25,1,4.51,4.0,0.32,0.13,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,273.01
C22,3,15.110999999999999,76.80565333333332,2026-08-25,2026-08-28,4,2.57,1.83,0.33,0.22,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,326.55
C1,24,15.177132499999999,76.66680166666667,2026-08-25,2026-08-28,4,5.52,2.45,0.56,0.35,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,341.85
C11,5,15.336392,76.28196,2026-08-25,2026-08-28,4,3.12,1.7,0.49,0.33,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,388.66
C6,7,17.95657857142857,80.79530571428572,2026-08-25,2026-08-28,4,4.11,2.95,0.55,0.31,insufficient_evidence,No nearby industrial zone,Upper Sileru Power House,Thermal power plant,129.54
C30,2,19.820945000000002,79.23766,2026-08-25,2026-08-28,4,0.86,0.8,0.19,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,233.25
C23,3,20.910796666666666,71.45964666666667,2026-08-25,2026-08-28,4,2.89,1.57,0.53,0.88,persistent_industrial_source,Within known industrial zone,Unnamed industrial facility,Industrial area,0.26
C2,12,21.10498583333333,72.64180916666668,2026-08-25,2026-08-28,4,11.92,5.63,0.75,0.97,persistent_industrial_source,Within known industrial zone,ArcelorMittal Nippon Steel India,Industrial works,1.22
C31,2,21.196175,81.41427999999999,2026-08-25,2026-08-25,1,2.93,2.93,0.26,0.36,industrial_fire,Within known industrial zone,Bhilai 500 MW Expansion Power Project,Thermal power plant,1.17
C3,12,21.748594999999998,83.84374916666667,2026-08-25,2026-08-28,4,18.05,7.04,0.74,0.36,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,18.1
C32,2,21.813005,83.89579,2026-08-25,2026-08-25,1,0.53,0.46,0.08,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,9.82
C33,2,22.246545,87.38782,2026-08-25,2026-08-27,3,1.81,1.26,0.32,0.22,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,95.98
C34,2,22.340585,69.85508,2026-08-25,2026-08-25,1,3.06,2.62,0.26,0.38,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.53
C4,11,22.3689,87.28859272727273,2026-08-25,2026-08-29,5,10.47,3.59,0.73,0.33,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,80.47
C35,2,22.36357,87.0176,2026-08-25,2026-08-28,4,4.8,2.65,0.53,0.25,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,55.84
C36,2,22.415765,69.03883,2026-08-25,2026-08-26,2,2.63,2.01,0.35,0.2,insufficient_evidence,No nearby industrial zone,Port,Industrial area,58.79
C16,4,22.78959,86.20255499999999,2026-08-25,2026-08-27,3,3.24,1.71,0.4,0.8,industrial_fire,Within known industrial zone,Tata Steel,Industrial area,0.52
C37,2,22.80032,86.091025,2026-08-25,2026-08-27,3,2.85,2.79,0.32,0.78,industrial_fire,Within known industrial zone,Adityapur Works Power Station,Thermal power plant,0.45
C24,3,22.92569333333333,69.82334999999999,2026-08-25,2026-08-26,2,2.03,1.49,0.35,0.88,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.15
C38,2,22.928555,70.10682,2026-08-25,2026-08-28,4,4.39,2.74,0.48,0.8,industrial_fire,Within known industrial zone,Tuna-Tekra Container Terminal,Industrial area,1.15
C7,6,23.556321666666665,87.24068833333335,2026-08-25,2026-08-29,5,2.57,1.44,0.45,0.33,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial works,33.4
C39,2,23.66355,87.15572,2026-08-25,2026-08-27,3,2.08,2.0,0.28,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,20.74
C12,5,25.942991999999997,72.190302,2026-08-25,2026-08-28,4,21.83,13.63,0.62,0.36,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,272.27
C40,2,26.760505000000002,83.198765,2026-08-25,2026-08-26,2,1.23,1.08,0.23,0.26,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,346.33
C17,4,29.4657025,76.86996249999999,2026-08-25,2026-08-27,3,7.66,4.2,0.37,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,54.67
C41,2,9.80394,78.17557500000001,2026-08-26,2026-08-26,1,4.38,4.19,0.32,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,360.87
C42,2,9.91994,78.077425,2026-08-26,2026-08-28,3,5.83,5.62,0.35,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,356.28
C18,4,11.180825,79.0977075,2026-08-26,2026-08-28,3,2.46,1.16,0.55,0.33,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,177.8
C8,6,11.814348333333333,77.91840833333333,2026-08-26,2026-08-28,3,2.88,1.65,0.46,0.37,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,214.01
C19,4,13.7123575,79.62086249999999,2026-08-26,2026-08-28,3,2.67,1.62,0.45,0.93,persistent_industrial_source,Within known industrial zone,Unnamed industrial facility,Industrial area,1.31
C13,5,13.830342000000002,79.257716,2026-08-26,2026-08-28,3,15.31,3.82,0.6,0.25,insufficient_evidence,No nearby industrial zone,Amararaja Batteries Small Batteries Division,Industrial works,30.41
C43,2,15.02354,79.75197499999999,2026-08-26,2026-08-28,3,5.67,4.09,0.34,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,118.03
C44,2,15.023245,78.01422500000001,2026-08-26,2026-08-27,2,2.22,1.67,0.33,0.21,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,208.03
C45,2,15.168465000000001,76.381415,2026-08-26,2026-08-27,2,1.39,1.3,0.23,0.22,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,370.97
C46,2,15.17339,76.78565499999999,2026-08-26,2026-08-28,3,1.18,1.0,0.23,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,331.56
C14,5,15.175658000000002,77.101362,2026-08-26,2026-08-28,3,1.81,1.25,0.34,0.31,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,300.97
C47,2,15.33378,76.24683999999999,2026-08-26,2026-08-27,2,0.78,0.72,0.18,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,391.47
C25,3,15.988080000000002,78.40330999999999,2026-08-26,2026-08-28,3,2.89,2.39,0.34,0.22,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,261.29
C26,3,18.68424333333333,73.03322333333334,2026-08-26,2026-08-26,1,2.8,2.02,0.25,0.36,industrial_fire,Within known industrial zone,JSW Ispat Steel Plant,Industrial area,1.14
C48,2,20.763295,85.294795,2026-08-26,2026-08-26,1,2.11,1.98,0.21,0.2,industrial_fire,Adjacent to industrial zone,Unnamed industrial facility,Thermal power plant,4.78
C5,8,20.79500125,85.25666125000001,2026-08-26,2026-08-27,2,11.97,2.96,0.57,0.78,industrial_fire,Within known industrial zone,Tata Steel Meramandali,Industrial area,1.36
C15,5,20.869152,84.989822,2026-08-26,2026-08-27,2,5.94,3.43,0.45,0.77,industrial_fire,Within known industrial zone,Angul Steel Plant,Industrial area,1.31
C49,2,20.964135,86.01119,2026-08-26,2026-08-28,3,4.14,3.68,0.31,0.38,industrial_fire,Within known industrial zone,TATA Steel,Industrial area,0.91
C9,6,20.966708333333333,85.179385,2026-08-26,2026-08-27,2,9.71,7.16,0.38,0.2,industrial_fire,Adjacent to industrial zone,Unnamed industrial facility,Industrial area,2.69
C50,2,22.358269999999997,82.304235,2026-08-26,2026-08-26,1,8.21,6.7,0.37,0.05,insufficient_evidence,No nearby industrial zone,Bhandhakhar Power Station,Thermal power plant,13.61
C51,2,23.11914,70.083315,2026-08-26,2026-08-27,2,1.73,1.6,0.26,0.83,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.8
C52,2,23.315655,70.48671,2026-08-26,2026-08-26,1,1.62,1.42,0.17,0.37,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.35
C53,2,23.61623,86.79031,2026-08-26,2026-08-26,1,3.56,2.73,0.29,0.15,industrial_fire,Adjacent to industrial zone,Unnamed industrial facility,Industrial area,4.87
C10,6,29.914025,74.95236166666668,2026-08-26,2026-08-27,2,34.97,16.79,0.6,0.27,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,191.24
C54,2,8.30631,77.63922500000001,2026-08-27,2026-08-27,1,2.34,1.84,0.22,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,535.48
C55,2,8.537365000000001,77.95384,2026-08-27,2026-08-27,1,2.88,2.88,0.25,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,497.35
C56,2,9.130395,77.84409500000001,2026-08-27,2026-08-27,1,4.92,4.6,0.33,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,444.07
C57,2,9.304715,78.814625,2026-08-27,2026-08-27,1,6.54,3.76,0.36,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,383.51
C58,2,9.499775,77.6156,2026-08-27,2026-08-29,3,4.45,2.88,0.32,0.01,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,421.77
C27,3,10.608833333333333,77.42443666666668,2026-08-27,2026-08-28,2,0.58,0.46,0.18,0.22,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,337.58
C59,2,15.844825,79.77468999999999,2026-08-27,2026-08-27,1,3.7,2.45,0.29,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,209.26
C60,2,17.062725,76.97904,2026-08-27,2026-08-28,2,1.5,1.4,0.24,0.22,insufficient_evidence,No nearby industrial zone,Pawana Hydroelectric Power Station,Thermal power plant,410.17
C28,3,17.14149666666667,77.18103666666667,2026-08-27,2026-08-28,2,1.4,1.1,0.27,0.23,insufficient_evidence,No nearby industrial zone,Pawana Hydroelectric Power Station,Thermal power plant,426.25
C61,2,17.463675000000002,80.65307,2026-08-27,2026-08-28,2,2.91,2.72,0.33,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,152.48
C62,2,23.68668,87.12185,2026-08-27,2026-08-29,3,3.21,1.81,0.47,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,16.67
C63,2,26.632735,70.38699,2026-08-27,2026-08-27,1,6.8,5.08,0.36,0.0,insufficient_evidence,No nearby industrial zone,Adhoi (Pasakayara),Thermal power plant,362.11
C20,4,8.710495,77.97427,2026-08-28,2026-08-28,1,19.0,9.14,0.39,0.05,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,478.94
C64,2,8.737755,78.096025,2026-08-28,2026-08-29,2,9.62,6.15,0.37,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,471.0
