cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C77,2,8.332525,81.02947,2026-08-25,2026-08-25,1,5.71,3.42,0.44,0.06,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,473.49
C78,2,8.351385,80.672195,2026-08-25,2026-08-25,1,6.02,4.98,0.37,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,465.0
C29,4,8.357745000000001,80.23385999999999,2026-08-25,2026-08-25,1,7.87,5.6,0.42,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,461.01
C79,2,8.418205,80.52224000000001,2026-08-25,2026-08-25,1,3.76,2.42,0.36,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,455.95
C47,3,8.42215,80.56208333333332,2026-08-25,2026-08-25,1,10.47,6.73,0.47,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,455.72
C48,3,8.43759,80.34761,2026-08-25,2026-08-28,4,11.18,6.52,0.38,0.02,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,451.88
C80,2,8.449845,80.80749,2026-08-25,2026-08-26,2,4.62,4.34,0.3,0.02,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,456.22
C30,4,8.526835,80.822295,2026-08-25,2026-08-28,4,5.61,4.49,0.43,0.2,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,448.19
C81,2,8.63293,80.345505,2026-08-25,2026-08-25,1,8.37,7.78,0.38,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,430.85
C49,3,8.667816666666667,80.43903999999999,2026-08-25,2026-08-25,1,6.78,4.71,0.35,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,426.32
C82,2,10.214125,79.243405,2026-08-25,2026-08-25,1,4.51,4.0,0.3,0.12,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,273.01
C83,2,14.867805,79.736825,2026-08-25,2026-08-25,1,9.7,6.57,0.45,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,101.72
C84,2,17.08592,79.68515,2026-08-25,2026-08-25,1,4.27,4.01,0.3,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,246.67
C85,2,29.77695,72.263295,2026-08-25,2026-08-26,2,4.79,4.3,0.31,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,424.28
C31,4,30.1693925,72.42152750000001,2026-08-25,2026-08-27,3,8.86,6.08,0.38,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,421.21
C50,3,30.377093333333335,73.89498333333334,2026-08-25,2026-08-26,2,4.26,4.11,0.29,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,303.65
C86,2,31.096735000000002,72.31396000000001,2026-08-25,2026-08-25,1,3.38,2.84,0.26,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,474.23
C51,3,31.743413333333333,72.21721666666667,2026-08-25,2026-08-25,1,11.35,7.18,0.38,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,522.18
C87,2,22.246545,87.38782,2026-08-25,2026-08-27,3,1.81,1.26,0.31,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,95.98
C4,21,22.37141666666667,87.28620047619049,2026-08-25,2026-08-29,5,10.47,3.05,0.84,0.36,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,80.47
C88,2,22.36357,87.0176,2026-08-25,2026-08-28,4,4.8,2.65,0.51,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,55.84
C1,57,15.178048421052631,76.66755473684212,2026-08-25,2026-08-28,4,5.52,2.12,0.76,0.43,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,342.92
C6,16,17.957416249999998,80.7918225,2026-08-25,2026-08-28,4,4.11,2.54,0.53,0.32,insufficient_evidence,No nearby industrial zone,Upper Sileru Power House,Thermal power plant,129.54
C32,4,18.5761625,72.24053500000001,2026-08-25,2026-08-25,1,6.71,4.58,0.35,0.05,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,66.63
C89,2,21.37698,81.67782,2026-08-25,2026-08-25,1,1.85,1.48,0.21,0.38,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.64
C5,20,21.74841,83.8433725,2026-08-25,2026-08-28,4,18.05,5.88,0.79,0.36,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,18.1
C90,2,21.813005,83.89579,2026-08-25,2026-08-25,1,0.53,0.46,0.08,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,9.82
C21,5,22.93298,69.69864199999999,2026-08-25,2026-08-25,1,3.76,2.58,0.35,0.39,industrial_fire,Within known industrial zone,Unnamed industrial facility,Thermal power plant,0.59
C52,3,25.38837,68.58200666666666,2026-08-25,2026-08-25,1,2.1,1.82,0.21,0.0,insufficient_evidence,No nearby industrial zone,Bhuj Sector 98,Industrial area,259.76
C8,12,25.9428025,72.1917275,2026-08-25,2026-08-28,4,21.83,8.12,0.86,0.33,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,272.27
C53,3,26.094086666666666,68.87890666666668,2026-08-25,2026-08-27,3,3.11,1.62,0.32,0.04,insufficient_evidence,No nearby industrial zone,Bhuj Sector 95,Industrial area,323.94
C12,8,28.42463625,69.69999874999999,2026-08-25,2026-08-28,4,4.54,1.78,0.64,0.32,insufficient_evidence,No nearby industrial zone,Khisara,Thermal power plant,563.74
C91,2,19.820945000000002,79.23766,2026-08-25,2026-08-28,4,0.86,0.8,0.18,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,233.25
